Time (d),MC 1 (cells/mL),STD_ERROR (cells/mL),MC 2 (cells/mL),STD_ERROR (cells/mL)
0.833333333,6.92E+06,7.47E+05,4.47E+06,4.60E+05
6.822916667,3.28E+06,5.37E+05,1.06E+07,5.30E+06
10.5125,4.17E+06,9.54E+05,1.21E+06,1.95E+05
15.45833333,6.94E+06,2.73E+06,5.98E+06,2.07E+05
16.45833333,4.03E+06,4.55E+05,4.28E+06,6.38E+05
17.625,2.62E+06,2.42E+05,2.79E+06,2.17E+05
18.75,3.62E+06,2.22E+05,4.76E+06,8.53E+05
19.83333333,5.05E+06,2.31E+05,5.61E+06,1.85E+06
21.45833333,3.06E+06,4.03E+05,4.84E+05,7.72E+04
21.79166667,7.85E+06,4.12E+06,1.51E+06,6.47E+05
22.39583333,1.52E+06,1.22E+05,3.85E+05,9.17E+04
22.79166667,1.51E+06,1.39E+05,5.88E+05,1.41E+05
23.5625,6.30E+05,1.72E+05,1.55E+06,7.71E+04
